country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,      4,      4,      4,      4,      4,      4,      4,      4,      4,      4,      4,      4,      4,      4,      4,      4,      4,      4,      4,      4,      4,      4,      4,      4,      4,      4,      4,      4,      4,      4,      4,      4,      4
Afghanistan,  12100,  12100,  12100,  12100,  12100,  12100,  12100,  12100,  12100,  12100,  12100,  12100,  12100,  12100,  12100,  12100,  12100,  12100,  12100,  12100,  12100,  12100,  12100,  12100,  12100,  12100,  12100,  12100,  12100,  12100,  12100,  12100,  12100
Angola, 793000, 791000, 790000, 788000, 786000, 785000, 783000, 782000, 780000, 779000, 777000, 772000, 766000, 760000, 755000, 749000, 744000, 738000, 733000, 727000, 722000, 716000, 710000, 705000, 699000, 694000, 688000, 683000, 677000, 672000, 666000, 661000, 655000
Albania,   7890,   7870,   7850,   7830,   7810,   7790,   7770,   7750,   7730,   7710,   7690,   7710,   7720,   7730,   7740,   7760,   7770,   7780,   7800,   7810,   7820,   7830,   7850,   7860,   7880,   7890,   7890,   7890,   7890,   7890,   7890,   7890,   7890
Andorra,    160,    160,    160,    160,    160,    160,    160,    160,    160,    160,    160,    160,    160,    160,    160,    160,    160,    160,    160,    160,    160,    160,    160,    160,    160,    160,    160,    160,    160,    160,    160,    160,    160
UAE,   2450,   2510,   2580,   2640,   2710,   2770,   2840,   2900,   2970,   3030,   3090,   3100,   3110,   3120,   3130,   3130,   3140,   3150,   3160,   3170,   3170,   3170,   3170,   3170,   3170,   3170,   3170,   3170,   3170,   3170,   3170,   3170,   3170
Argentina, 352000, 350000, 348000, 347000, 345000, 343000, 341000, 339000, 337000, 336000, 334000, 331000, 327000, 324000, 321000, 318000, 315000, 312000, 308000, 305000, 302000, 300000, 298000, 295000, 293000, 291000, 290000, 289000, 288000, 287000, 286000, 285000, 284000
Armenia,     NA,     NA,   3340,   3340,   3340,   3340,   3330,   3330,   3330,   3330,   3330,   3320,   3320,   3320,   3320,   3320,   3310,   3310,   3310,   3310,   3310,   3300,   3300,   3300,   3300,   3300,   3290,   3290,   3290,   3290,   3280,   3280,   3280
American Samoa,    181,    180,    180,    180,    179,    179,    179,    178,    178,    178,    177,    177,    177,    176,    176,    176,    176,    175,    175,    175,    174,    174,    174,    173,    173,    173,    173,    172,    172,    172,    171,    171,    171
Antigua and Barbuda,    101,    100,    100,     99,     98,     98,     97,     96,     96,     95,     94,     94,     93,     92,     92,     91,     90,     90,     89,     88,     88,     87,     86,     86,     85,     84,     84,     83,     82,     82,     81,     80,     80
Australia,1340000,1340000,1330000,1330000,1330000,1330000,1330000,1320000,1320000,1320000,1320000,1320000,1310000,1310000,1310000,1310000,1300000,1300000,1300000,1300000,1300000,1300000,1310000,1320000,1320000,1330000,1340000,1340000,1340000,1340000,1340000,1340000,1340000
